,title,originallink,link,description,pubDate,bloggername,bloggerlink,postdate
60,"<b>한국조폐공사</b> 화폐박물관, '천사의 재능 메달 디자인전' 개최",http://www.iminju.net/news/articleView.html?idxno=70899,http://www.iminju.net/news/articleView.html?idxno=70899,'천사의 재능 메달 디자인전' 포스터 ⓒ <b>한국조폐공사 한국조폐공사</b>는 오는 26일까지 대전시 유성구 화폐박물관 특별전시실에서 서번트 증후군(Savant Syndrome) 아티스트의 '천사의 재능 메달 디자인전'을 개최한다고... ,"Thu, 11 Mar 2021 11:40:00 +0900",,,
61,"<b>조폐공사</b> 화폐박물관, ‘천사의 재능 메달 디자인전’개최",http://www.thepublic.kr/news/newsview.php?ncode=1065580689585463,http://www.thepublic.kr/news/newsview.php?ncode=1065580689585463,"<b>한국조폐공사</b> 화폐박물관은 오는 26일까지 특별전시실에서 서번트 증후군 아티스트의 ‘천사의 재능 메달 디자인전’을 개최한다고 이날 밝혔다. 서번트 증후군은 자폐증이나 지적장애를 가진 사람이 기억, 음악, 미술... ","Thu, 11 Mar 2021 13:40:00 +0900",,,
62,"<b>조폐공사</b>, 코로나 19 경영악화 극복 위해 비상경영체제 선언",http://news.mt.co.kr/mtview.php?no=2021030810533043174,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004553639,[지난해 매출 증가 불구 영업손익 142억 적자로 전환… 미래성장·사업 고도화 등 6개 비상경영 TF 가동] <b>한국조폐공사</b>가 지난해 코로나 19 여파로 여권발급 등이 크게 감소하는 등 경영이 악화되면서 비상경영 체제에... ,"Mon, 08 Mar 2021 11:29:00 +0900",,,
63,"<b>조폐공사</b>, 기재부 주관 '2020 공공기관 혁신 우수과제' 선정",http://www.ggilbo.com/news/articleView.html?idxno=832795,http://www.ggilbo.com/news/articleView.html?idxno=832795,<b>한국조폐공사</b> 제공 <b>한국조폐공사</b>는 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 선정된 과제는 '발달장애 디자이너와 함께 하는 신규... ,"Tue, 09 Mar 2021 16:12:00 +0900",,,
64,"<b>조폐공사</b>, 기재부 주관 '2020 공공기관 혁신 우수과제' 선정",http://www.shinailbo.co.kr/news/articleView.html?idxno=1385468,http://www.shinailbo.co.kr/news/articleView.html?idxno=1385468,<b>한국조폐공사</b>가 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 선정된 과제는 '발달장애 디자이너와 함께 하는 신규 사업으로 사회적 가치... ,"Tue, 09 Mar 2021 12:58:00 +0900",,,
65,"<b>조폐공사</b>, 혁신·협업·시민참여 평가서'우수' 획득",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=589474,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=589474,<b>한국조폐공사</b>는 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신 부문 우수과제로 선정됐다. 9일 <b>조폐공사</b>에 따르면 선정된 과제는 '발달장애 디자이너와 함께 하는 신규 사업으로... ,"Tue, 09 Mar 2021 15:30:00 +0900",,,
66,<b>조폐공사</b> '2020 공공기관 우수과제 평가'서 혁신부문 '우수',http://www.ekoreanews.co.kr/news/articleView.html?idxno=49201,http://www.ekoreanews.co.kr/news/articleView.html?idxno=49201,이미지=<b>한국조폐공사</b> 제공 <b>한국조폐공사</b>는 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 선정된 과제는 '발달장애 디자이너와 함께... ,"Tue, 09 Mar 2021 11:13:00 +0900",,,
67,"<b>한국조폐공사</b>, 비상경영체제 돌입",http://www.iminju.net/news/articleView.html?idxno=70801,http://www.iminju.net/news/articleView.html?idxno=70801,한국조폐공사 비상경영 TF 구성 및 임무 ⓒ <b>한국조폐공사 한국조폐공사</b>가 비상경영체제에 돌입했다고 8일 밝혔다. 이날 대전 한국조폐공사 본사에서 반장식 사장은 경영전략회의를 열고 코로나19 장기화에 따른 여권... ,"Mon, 08 Mar 2021 12:48:00 +0900",,,
68,"<b>조폐공사</b> 비상경영체제 들어가, 반장식 “경영혁신으로 위기 극복”",http://www.businesspost.co.kr/BP?command=article_view&num=220668,http://www.businesspost.co.kr/BP?command=article_view&num=220668,<b>한국조폐공사</b>가 비상경영체제에 들어갔다. 반장식 <b>한국조폐공사</b> 사장은 8일 대전에 위치한 <b>조폐공사</b> 본사에서 경영전략회의를 열고 비상경영체제를 선언했다고 <b>조폐공사</b>가 전했다. 반장식 <b>한국조폐공사</b> 사장이 8일... ,"Mon, 08 Mar 2021 18:01:00 +0900",,,
69,"<b>조폐공사</b>, 정부‘혁신·협업·시민참여 우수과제 평가’서 혁신부문 ‘우수’...",http://www.kukinews.com/newsView/kuk202103090414,http://www.kukinews.com/newsView/kuk202103090414,"<b>한국조폐공사</b>(사장 반장식, www.komsco.com)는 기획재정부 주관 ‘2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가’ 혁신 부문 우수과제로 <b>조폐공사</b> 사업이 선정됐다고 9일 밝혔다. 선정된 과제는 ‘발달장애... ","Tue, 09 Mar 2021 23:53:00 +0900",,,
