,Unnamed: 0,title,originallink,link,description,pubDate,bloggername,bloggerlink,postdate,type
0,0,조폐공사 작년부터 보안기능 강화된 새 주민증 서비스,https://www.news1.kr/articles/?4241099,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005222259,한국조폐공사는 지난 2020년 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 서비스 중이라고 15일 밝혔다 새 주민증은 열과 충격에 강해 쉽게 훼손되지 ,"Mon, 15 Mar 2021 11:42:00 +0900",,,,news
1,1,조폐공사 주민등록증 보안기능 강화범죄 악용 원천 차단,http://www.etnews.com/20210315000139,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=030&aid=0002933275,한국조폐공사는 국가 신분증인 주민등록증주민증 보안기능을 강화해 범죄 악용을 원천 차단했다고 15일 밝혔다 조폐공사에 따르면 최근 5년20152019년간 분실로 인한 주민증 재발급 건수는 무려 790만건에 달한다 ,"Mon, 15 Mar 2021 13:27:00 +0900",,,,news
2,2,조폐공사 보안기능 대폭 강화된 새 주민등록증 서비스 중,http://www.kukinews.com/newsView/kuk202103150443,http://www.kukinews.com/newsView/kuk202103150443,한국조폐공사사장 반장식 wwwkomscocom는 1999년 일제 갱신 이래 20년만인 지난해 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민등록증을 국민들에게 서비스중이라고 ,"Mon, 15 Mar 2021 23:49:00 +0900",,,,news
3,3,조폐공사 보안 기능 대폭 강화된 주민등록증 서비스 시행,http://www.cctoday.co.kr/news/articleView.html?idxno=2130648,http://www.cctoday.co.kr/news/articleView.html?idxno=2130648,한국조폐공사는 보안기능이 강화된 새 주민등록증 서비스를 시행 중이라고 15일 밝혔다이번 주민증은 육안으로도 위변조 여부를 쉽게 확인할 수 있고 열과 충격에 강해 쉽게 훼손되지 않는 플라스틱 재질로 ,"Mon, 15 Mar 2021 20:44:00 +0900",,,,news
4,4,조폐공사 보안 강화된 새 주민등록증 발급 시작,http://www.lawissue.co.kr/view.php?ud=202103152227433777f4ab64559d_12,http://www.lawissue.co.kr/view.php?ud=202103152227433777f4ab64559d_12,주민증 여권 등 국가 신분증을 제조하고 있는 한국조폐공사는 1999년 일제 갱신 이래 20년만인 지난 2020년 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 ,"Mon, 15 Mar 2021 22:33:00 +0900",,,,news
5,5,조폐공사 위변조 피해 방지하는 새 주민증으로 교환하세요,http://www.cctvnews.co.kr/news/articleView.html?idxno=222377,http://www.cctvnews.co.kr/news/articleView.html?idxno=222377,주민증 여권 등 국가 신분증을 제조하고 있는 한국조폐공사는 작년 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 서비스중이라고 강조했다 강화된 ,"Tue, 16 Mar 2021 13:34:00 +0900",,,,news
6,6,조폐공사 보안기능 대폭 강화 새 주민증 서비스,http://www.viva100.com/main/view.php?key=20210315010004035,http://www.viva100.com/main/view.php?key=20210315010004035,조폐공사 보안기능 대폭 강화 새 주민증 서비스 한국조폐공사는 지난 1999년 일제 갱신 이래 20년만인 올해 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 ,"Mon, 15 Mar 2021 14:52:00 +0900",,,,news
7,7,조폐공사 보안 강화된 새 주민증으로 바꿔볼까,http://www.ccnnews.co.kr/news/articleView.html?idxno=211957,http://www.ccnnews.co.kr/news/articleView.html?idxno=211957,주민증 여권 등 국가 신분증을 제조하고 있는 한국조폐공사사장 반장식 wwwkomscocom는 1999년 일제 갱신 이래 20년만인 지난 2020년 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 ,"Mon, 15 Mar 2021 11:36:00 +0900",,,,news
8,8,조폐공사 보안기능 강화된 새 주민증 교체하세요,http://www.g-enews.com/ko-kr/news/article/news_all/202103151108506570620e02e8e3_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202103151108506570620e02e8e3_1/article.html,레이저 보안인쇄기술색변환 특수잉크돋움문자 적용 등 보안 강화 주민등록증 분실로 인한 재발급 건수가 최근 5년간 790만 건에 이르는 가운데 한국조폐공사가 보안이 강화된 새 주민증으로 교체할 것을 권고했다 ,"Mon, 15 Mar 2021 11:15:00 +0900",,,,news
9,9,조폐공사 보안 강화된 새 주민증 발급,https://www.asiatoday.co.kr/view.php?key=20210315010009118,https://www.asiatoday.co.kr/view.php?key=20210315010009118,레이저 보안인쇄기술색변환 특수잉크돋움문자 적용 한국조폐공사는 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민등록증을 국민들에게 발급하고 있다고 15일 밝혔다 새 ,"Mon, 15 Mar 2021 15:48:00 +0900",,,,news
10,10,한국조폐공사 보안기능 대폭 강화 새 주민증 교체 권장,http://www.iminju.net/news/articleView.html?idxno=70965,http://www.iminju.net/news/articleView.html?idxno=70965,새 주민등록증 이미지 ⓒ 한국조폐공사 한국조폐공사는 1999년 일제 갱신 이래 20년만인 지난 2020년 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 서비스 중이라며 ,"Mon, 15 Mar 2021 11:40:00 +0900",,,,news
11,11,조폐공사 새 주민등록증 나와교체 권고,http://www.wsobi.com/news/articleView.html?idxno=116100,http://www.wsobi.com/news/articleView.html?idxno=116100,한국조폐공사는 1999년 일제 갱신 이래 20년 만인 지난 2020년 1월부터 육안으로도 위변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 서비스중이라고 밝혔다 새 주민증은 열과 ,"Tue, 16 Mar 2021 09:40:00 +0900",,,,news
12,12,조폐공사 보안 강화한 새 주민등록증 만나보세요,http://www.joongdo.co.kr/web/view.php?key=20210315010006120,http://www.joongdo.co.kr/web/view.php?key=20210315010006120,한국조폐공사가 위변조 여부를 쉽게 확인할 수 있도록 보안 기능을 강화한 새 주민등록증을 국민에게 선보이고 있다 주민등록증 보안 강화는 지난해 1월에 도입했으며 1999년 이후 20년 만이다 새 주민증은 열과 ,"Mon, 15 Mar 2021 14:42:00 +0900",,,,news
13,13,조폐공사 화폐박물관 천사의 재능 메달 디자인전 개최,https://www.news1.kr/articles/?4237530,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005215564,한국조폐공사 화폐박물관대전 유성구 소재이 26일까지 특별전시실에서 서번트 증후군 아티스트의 천사의 재능 메달 디자인전을 개최한다 서번트 증후군Savant syndrome은 자폐증이나 지적장애를 가진 사람이 ,"Thu, 11 Mar 2021 11:04:00 +0900",,,,news
14,14,조폐공사 화폐박물관천사의 재능메달 디자인전,http://www.fnnews.com/news/202103111351582391,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004599212,한국조폐공사 화폐박물관대전 유성구은 오는 26일까지 특별전시실에서 서번트 증후군 아티스트의 천사의 재능 메달 디자인전을 개최한다고 11일 밝혔다 서번트 증후군Savant syndrome은 자폐증이나 지적장애를 ,"Thu, 11 Mar 2021 13:56:00 +0900",,,,news
15,15,조폐공사 비상경영체제 선언,https://www.hankyung.com/society/article/202103088023h,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004509682,한국조폐공사는 8일 대전 본사에서 경영전략회의를 열고 비상경영 체제를 선언했다 조폐공사가 이처럼 비상경영으로 돌아선 것은 지난해 영업적자가 발생한 데 따른 것이다 반장식 한국조폐공사 사장사진 가운데이 ,"Mon, 08 Mar 2021 13:27:00 +0900",,,,news
18,18,한국조폐공사 지난해 142억원 적자비상경영 선언,http://yna.kr/AKR20210308062400063?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0012245781,코로나19 영향 여권 발급량 급감매출채권 회수 지연도 반장식 사장 경비 절감과 투자 조정 등 경영 합리화 추진 지난해 100억원대 영업적자를 본 한국조폐공사가 비상 경영 체제에 돌입했다 반장식 조폐공사 사장은 ,"Mon, 08 Mar 2021 11:04:00 +0900",,,,news
19,19,돈 공장 한국조폐공사도 비상경영체제 돌입,http://news.mk.co.kr/newsRead.php?no=220481&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004759689,코로나19發 지난해 142억원 영업적자 반장식 사장 강도높은 경영혁신위기를 기회로 만들 터 돈 공장으로 불리는 한국조폐공사도 코로나19발 한파를 피해가진 못했다 반장식 조폐공사장은 8일 코로나19에 따른 ,"Mon, 08 Mar 2021 12:33:00 +0900",,,,news
22,22,영업적자 낸 조폐공사 비상경영 선언,https://www.hankyung.com/economy/article/202103088496i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004509952,지난해 23년 만에 영업적자를 기록한 한국조폐공사가 비상경영 체제에 돌입했다 반장식 한국조폐공사 사장사진은 8일 대전 본사에서 위기극복 특별대책 경영전략 회의를 열고 미래 성장동력 발굴이 시급한 만큼 ,"Mon, 08 Mar 2021 17:54:00 +0900",,,,news
23,23,조폐공사 화폐박물관 천사의 재능 메달 디자인전,http://www.enewstoday.co.kr/news/articleView.html?idxno=1459535,http://www.enewstoday.co.kr/news/articleView.html?idxno=1459535,한국조폐공사 화폐박물관대전 유성구은 오는 26일까지 특별전시실에서 서번트 증후군 아티스트의 천사의 재능 메달 디자인전을 연다고 11일 밝혔다 사진한국조폐공사 한국조폐공사사장 반장식 화폐박물관 ,"Thu, 11 Mar 2021 17:55:00 +0900",,,,news
24,24,조폐공사 작년 142억 영업적자비상경영체제 돌입,http://news.kbs.co.kr/news/view.do?ncd=5133896&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0011002507,한국 조폐공사가 비상경영 체제에 돌입했습니다 조폐공사는 지난해 매출액이 5천 317억 원으로 전년보다 13 늘었지만 142억 원의 영업적자가 발생했다며 경비절검과 투자 조정 등 경영합리화가 필요하다고 ,"Mon, 08 Mar 2021 19:46:00 +0900",,,,news
26,26,조폐공사 비상경영체제 선언매출 증가 불구 영업손익 적자,https://www.news1.kr/articles/?4233410,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005207715,한국조폐공사가 비상경영 체제에 돌입했다 반장식 사장은 8일 대전 본사에서 경영전략회의를 열고 코로나19 장기화에 따른 여권 발급 급감 등 경영여건 악화가 지속되고 있고 창립 70주년을 맞아 미래 성장동력 ,"Mon, 08 Mar 2021 10:28:00 +0900",,,,news
27,27,조폐공사 미래성장사업고도화 비상경영,https://view.asiae.co.kr/article/2021030810523878303,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004860827,한국조폐공사가 비상경영 체제로 미래성장 사업 발굴과 사업 고도화를 도모한다 8일 조폐공사에 따르면 지난해 조폐공사는 지난해 전체 매출액 5317억원을 기록해 전년대비 13 늘었지만 영업적자는 142억원 발생했다 ,"Mon, 08 Mar 2021 10:51:00 +0900",,,,news
28,28,한국조폐공사 비상경영 선언지난해 142억원 적자,http://www.sportsseoul.com/news/read/1020185?ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000748769,제공  한국조폐공사 지난해 100억원대 영업적자를 본 한국조폐공사가 비상 경영 체제에 돌입했다 반장식 조폐공사 사장은 8일 대전 본사에서 연 위기극복 특별 대책 경영전략 회의에서 미래 성장동력 발굴이 시급한 ,"Mon, 08 Mar 2021 12:54:00 +0900",,,,news
30,30,조폐공사 혁신협업시민참여평가서 우수,http://www.fnnews.com/news/202103091044583265,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004597423,한국조폐공사는 기획재정부 주관 2020년도 공공기관 혁신협업시민참여 우수 과제 평가에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다 선정된 과제는 발달장애 디자이너와 함께 하는 신규 사업으로 사회적 ,"Tue, 09 Mar 2021 10:53:00 +0900",,,,news
