,Unnamed: 0,Keyword,Count_news,Count_blog,Count_kin,Count_total
2555,2555,난이도,0.0,0.0,1.0,1.0
2556,2556,중상,0.0,0.0,1.0,1.0
2557,2557,필기전형,0.0,0.0,1.0,1.0
2558,2558,민트,0.0,0.0,1.0,1.0
2559,2559,민트세트,0.0,0.0,1.0,1.0
2560,2560,15만정도,0.0,0.0,1.0,1.0
2561,2561,대략적,0.0,0.0,1.0,1.0
2562,2562,인적성면접,0.0,0.0,1.0,1.0
2563,2563,2017,0.0,0.0,1.0,1.0
2564,2564,2017년,0.0,0.0,1.0,1.0
2565,2565,니꼬,0.0,0.0,1.0,1.0
2566,2566,정식,0.0,0.0,1.0,1.0
2567,2567,2015년도,0.0,0.0,1.0,1.0
2568,2568,재품,0.0,0.0,1.0,1.0
2569,2569,동일,0.0,0.0,1.0,1.0
