word	score
순천만국제정원박람회	5.81246327383501e-06
청년고용촉진특별법	4.925003269164189e-06
국립과학수사연구원	1.76552138889663e-06
순천성가롤로병원	4.498087156636138e-06
국제올림픽위원회	2.4127206042334003e-06
자동차안전연구원	8.90666014100091e-06
세계레슬링선수권	4.068724291684507e-06
연방경제기술부	8.288142075653623e-06
대우인터내셔널	1.6480507492095783e-05
액션퍼즐패밀리	1.8759986255072275e-05
소년소녀합창단	8.03999410931669e-06
부산영어도서관	1.3771066833393716e-05
바이오웰빙특구	1.484443356833485e-06
국제레슬링연맹	6.677207106553331e-06
트라이애슬론	2.199310427937571e-06
위조의심지폐	3.53104277779326e-06
laszlo	1.7666829161261673e-06
해룡초등학교	5.20418223354995e-06
실납입분양가	2.111130528704225e-06
무궁화대훈장	1.1820303464437581e-05
베이징올림픽	2.4127206042334003e-06
bs부산은행	4.006333819681474e-06
우즈베키스탄	2.2610437355261485e-05
충무초등학교	8.17800065272135e-06
카카오스토리	5.359996072877793e-06
전자공무원증	2.3555772215015562e-05
띠형홀로그램	7.06208555558652e-06
1만비트코인	2.9444715268769453e-06
중소중견기업	5.52542805043575e-06
jb전북은행	1.815657898926149e-06
국제노동기구	4.343073550843788e-06
학교비정규직	7.729873438433433e-07
과학기술훈장	1.0745730422215983e-06
어울림한마당	4.4607276287571e-06
품질평가회	9.455486029971037e-06
런던올림픽	6.677207106553331e-06
대표선발전	3.1340307982925352e-06
충무아트홀	4.068724291684507e-06
하계올림픽	2.5795946517884475e-06
여자일반부	4.398620855875142e-06
일반대리점	3.8417139234789325e-06
농촌진흥청	6.303657353314024e-06
최초분양가	4.22226105740845e-06
무기계약직	1.0821822813806805e-05
준정부기관	1.1240320188795265e-06
현대모비스	1.3359990211501364e-05
고용노동부	7.229116753001024e-07
국제ngo	2.8326561524385807e-06
어나니머스	7.337043804676979e-06
남양연구소	2.96888671366697e-06
다이애나비	5.612033505771732e-06
주택금융공	3.266858920330626e-06
새마을훈장	1.6118595633323975e-06
금융공기업	3.155955092898378e-06
세계선수권	9.487971484078669e-06
nsp통신	1.7926930880078865e-05
자기앞수표	1.738095813923478e-05
주행시험장	2.1524428674085533e-05
사상구청장	5.359996072877793e-06
교장선생님	2.8339497286012948e-06
정원디자인	8.718694910752514e-06
수입의약품	6.885533416696858e-06
총동창회장	1.4869092095857002e-06
미스틱89	2.1569140823387747e-05
종합소득자	1.4918655736176525e-05
애프터스쿨	7.3456843555166816e-06
안전행정부	7.229116753001024e-07
진해군항제	1.0057520721017882e-05
근로소득자	1.4918655736176525e-05
부산식약청	1.7213833541742142e-05
기획재정부	2.053340091347184e-06
서울경찰청	7.501000090815012e-06
순천경찰서	4.498087156636138e-06
수출입은행	2.7641323734474582e-06
특별수사팀	3.750500045407506e-06
현대차그룹	1.484443356833485e-06
조폐공사	2.0481796305313297e-05
세계대회	8.4445221148169e-06
민간부문	1.0306497917911243e-06
우즈베크	1.4189668010717372e-05
국제대회	2.0663306824371356e-06
취업시장	1.9345865251253844e-06
서류전형	2.3264092445763042e-06
노동조건	5.153248958955622e-07
서울체고	2.5795946517884475e-06
광양공장	4.498087156636138e-06
자진사퇴	2.1779059468870837e-06
아동노동	2.9726360947828195e-05
비정규직	6.956886094590089e-06
대통령령	1.846876225936571e-06
무기계약	1.1337147709702368e-05
