word	score
경제정의실천시민연합	5.462903152609615e-07
한국원자력안전기술원	1.772394382826042e-06
소상공인시장진흥공단	4.972060950965279e-07
중앙선거관리위원회	4.6300714869533956e-07
한국국제건설기계전	1.8486734705154503e-06
ict건물에너지관	1.2187114917092297e-06
국립문화재연구소	2.406763574822001e-06
한국토지주택공사	2.2747053856009e-06
에이쓰리시큐리티	3.9088397180459466e-07
경제관계장관회의	6.626413998211224e-07
국제올림픽위원회	9.770555102883073e-07
양지의용소방대원	3.037106415846811e-06
범죄정보2담당관	1.071919911475345e-06
goldstar	2.4688736025593432e-06
여수광양항만공사	6.786789675135869e-07
한국인터넷진흥원	5.310924869773372e-07
위변조대응센터장	8.332221665431444e-07
소멸시효경과이익	5.474612423414852e-07
케이이비하나은행	1.1649175293659e-06
탄금라이온스클럽	1.574795919327976e-06
두산인프라코어	4.6216836762886254e-06
산업통상자원부	1.4570022721034242e-06
금융통화위원회	1.076341288007787e-06
쓰리에스엠케이	3.1776131183592968e-06
위변조대응센터	2.7962805176705305e-06
비노출검사차량	8.458784447318704e-07
한국석유관리원	9.064571947275131e-07
디자인연구센터	6.963621725239928e-07
도서문화상품권	1.1979979735878004e-06
mbc노동조합	1.1238631670974984e-06
기획재정위원회	6.5921315079545706e-06
중국어능력시험	9.344942817990187e-07
문화체육관광부	1.9645126479803977e-06
동계올림픽대회	3.6646847339839675e-06
일부개정법률안	1.17565409645683e-06
국립중앙과학관	5.95415920037534e-06
한국수력원자력	1.7083450186220824e-06
브랜드평판지수	2.2248570255621986e-06
형사3부장검사	1.071919911475345e-06
충청마라톤대회	1.932704082811607e-06
한국재정정보원	3.1670577419215483e-07
한국전력거래소	7.866233416989769e-07
블록체인사업팀	1.6098198994697015e-06
비상호출시스템	3.215759734426035e-06
스피드스케이팅	2.6165055868873013e-06
평창동계올림픽	4.614558027418866e-06
현대백화점그룹	3.945107303058745e-06
한국에너지공단	1.6249486556123067e-06
한국수출입은행	4.6928604746326014e-06
신재생에너지관	1.2187114917092297e-06
무궁화lnb	3.2913989841171977e-06
ceo스코어	1.2642177343088099e-06
한국관광공사	2.0104340281799996e-06
무궁화엘앤비	3.2049866699890974e-06
항공안전장애	8.012466674972743e-07
일루미네이드	8.970356502501128e-07
인터파크투어	5.314936227731919e-07
한국외환은행	5.993624134799198e-07
풍산화동양행	3.531780000666391e-06
지방자치단체	1.17565409645683e-06
위조방지장치	1.0571143878361829e-06
패럴림픽대회	2.2339477288655595e-06
대통령비서실	1.3914217813747442e-06
도시재생사업	1.6045090498813341e-06
개혁보수신당	3.6033465950724876e-07
화폐발행잔액	2.0356496368210283e-06
키르기스스탄	3.2707299862965657e-06
정부세종청사	2.5227447006738735e-06
더불어민주당	2.0156751392763434e-06
화폐디자이너	4.105506290102822e-07
유럽정상회의	7.373321934425783e-07
위조방지기술	5.017738835200297e-07
신세계상품권	1.7426020418793178e-06
동계패럴림픽	3.0336695645868833e-06
ifrs17	1.2654610066028378e-06
모바일상품권	5.474612423414852e-07
온누리상품권	1.018837615539665e-06
아모레퍼시픽	9.590862365832035e-07
db손해보험	8.073320852251017e-07
공자아카데미	5.6069656907941126e-06
한국전력공사	4.1962149072839345e-06
한국석유공사	8.206554871543602e-07
