word	score
소상공인시장진흥공단	2.797811336119804e-06
한국방송광고진흥공	1.4812089811081928e-06
유성구행복누리재단	6.311148996083357e-06
국외소재문화재재단	3.3349706271878093e-06
공공기관운영위원회	8.596494902931111e-07
인천국제공항공사	5.2726155913646685e-06
한국철도시설공단	4.379397431962988e-06
안중근의사숭모회	4.510970223929566e-06
한국산업인력공단	3.7737840346950935e-06
정보기술연구센터	1.4011467281090266e-06
공공연대노동조합	2.192344547502854e-06
고용안정지원금	8.840380262313745e-07
한국수자원공사	3.327195667697904e-06
대한상공회의소	3.1074617156253687e-06
보안기술설명회	1.3455241514492437e-06
통합관리서비스	3.981088247935295e-06
동대문패션타운	5.337205515350023e-06
광주지방국세청	1.952620683871094e-06
중소벤처기업부	2.7046034164100677e-06
국가기술표준원	2.3647882940185135e-06
지역사랑상품권	1.5538603836152835e-05
기획재정위원회	6.211164210844243e-06
ibk기업은행	6.4026149235628275e-06
계룡사랑상품권	6.4092497576805075e-06
산업통상자원부	1.9448166762213347e-06
산업정책연구원	6.435713701572798e-07
보령사랑상품권	2.7828688486666773e-06
부산지방국세청	1.952620683871094e-06
세계기념인물	5.507589653753514e-06
한국철도공사	4.767854656189851e-06
철도시설공단	5.036772214219366e-06
정보취약계층	2.8501963208118388e-06
풍산화동양행	1.0069215665283969e-05
한국도로공사	3.2140918853882875e-06
온라인쇼핑몰	8.130720557755087e-06
우즈베키스탄	1.5565984004995965e-06
지방자치단체	7.138591805927375e-06
정품인증사업	6.4416704540511424e-06
특수압인기술	2.596993938318589e-06
온누리상품권	1.0782579745654923e-05
세종어린이집	4.363263503465037e-06
특수보안물질	9.257692165831319e-07
정품인증라벨	9.741364808026828e-07
모바일상품권	6.731892262488915e-07
사회복지시설	5.795913257412533e-06
애플리케이션	1.5855414306231647e-06
한국남동발전	2.2870578195004695e-06
한국중부발전	2.043404082982865e-06
우정사업본부	4.6199260624923924e-06
한국공항공사	1.4292631081192826e-06
가스기술공사	9.727052260513613e-06
대한석탄공사	6.413150234755835e-07
대한적십자사	2.9618332957117833e-06
연차휴가수당	8.820012865094742e-07
공공연대노조	2.586760869321089e-06
nh농협은행	7.088089053448224e-06
국립공원공단	2.579739735625314e-06
무기계약직원	4.589926542606078e-07
부당노동행위	2.426595294683565e-06
조선왕실문화	3.631208354305385e-06
블록체인연구	1.0776663566983859e-06
품질인증기관	2.3185650985302565e-06
소프트웨어적	2.6453917947654793e-07
코로나19	1.832530538426284e-05
공공서비스	2.921269954654252e-06
소프트웨어	3.2285866696521803e-06
헌법재판소	3.3613728348704844e-06
아르바이트	1.0593435923060899e-06
당기순이익	3.0302388345239744e-06
시각장애인	2.4467011300472136e-05
지역상품권	3.4180616418774654e-05
무기계약직	3.44616848853376e-06
가이드라인	2.8539401813099224e-06
수자원공사	5.175133428800172e-06
주민등록증	2.711752112220702e-06
전자신분증	3.2378896233171623e-06
현대백화점	9.605578837401119e-06
클라이언트	1.4184503441360777e-06
여권발급부	1.6216105759147066e-06
법률사무소	9.60392238534424e-07
고용안정성	2.858526216238565e-06
한국전력공	3.893125619510878e-06
인감증명서	4.668244193939493e-06
고용노동부	1.9025741306656038e-06
기획재정부	5.252935860399668e-06
발달장애인	5.956445511915912e-06
데이터센터	1.3296490922478307e-05
준정부기관	1.0214576409845896e-06
정보보안청	1.0613343657077118e-06
여권발급원	8.152491778137716e-06
천연기념물	5.627776174851402e-06
특별대책단	1.4604311726473886e-06
팝업스토어	4.63276287401081e-06
인사혁신처	5.032975740705049e-06
분양계약서	2.109556903105773e-06
카버코리아	2.109556903105773e-06
행정안전부	1.6875060519446367e-06
청년예술가	9.006711708255802e-06
근로계약서	6.710685354281399e-06
