word	score
좌지우지	1.4087264337395104e-07
검사장급	1.498659922327076e-06
지지기반	8.071056949143979e-08
최상층부	8.071056949143979e-08
오돌토돌	3.671729087724438e-07
긴급체포	2.0156071707509927e-06
예비검속	4.0355284745719894e-07
조폐공사	1.8916695081584907e-05
우즈베크	2.383054296243548e-06
음원차트	2.671028433872895e-06
신흥시장	1.1684467191024663e-06
오프라인	2.6574070068155394e-06
우리은행	2.8663096509312768e-06
시중은행	1.0015401929381904e-06
제조과정	4.510365462902504e-06
몬트리올	2.2109206687273356e-06
여론조사	1.1327898943411232e-06
유럽시장	2.9111805248935366e-06
국제사회	8.618664389263614e-07
경성고공	4.90789214329335e-07
주주총회	2.010702062455494e-06
합병계약	2.010702062455494e-06
남북항로	1.8560326730358404e-06
석문공원	2.0275987184425147e-06
월성원전	3.2694342478951116e-06
하나투어	2.6226548640723833e-06
발전방식	1.099244863301409e-06
순환근무	4.286639973256216e-07
비서실장	5.663962252222484e-07
비합리적	2.143319986628108e-07
비인도적	1.210658542371597e-07
기념메달	1.0062110736564312e-05
중소기업	5.597643951759767e-06
대한민국	6.9192897845745325e-06
보도연맹	5.0040553084692674e-06
블록체인	4.021404124910988e-06
봉사활동	4.0402465615957925e-06
화폐개혁	9.684873728369847e-07
인쇄원판	5.361872166547983e-07
기술자들	4.568545315872524e-07
수사기간	1.224793134490656e-06
조직결성	1.210658542371597e-07
무상점검	2.513377578069367e-06
독립운동	3.1376721864234167e-06
잠상기법	2.4866976934766642e-06
신입사원	7.842597666974812e-07
들여다봤	3.671729087724438e-07
금융기관	1.0027268528335191e-06
등기배송	2.089041103849864e-06
국회의원	2.8711734485087855e-06
구리그릇	9.546359940441514e-07
금융상품	1.7990512394778817e-06
자기발전	1.071659993314054e-07
유가증권	1.071659993314054e-07
리모델링	6.010043242176238e-07
안전자산	1.619357365735968e-06
도시계획	1.5950649465703383e-06
감자녹말	8.270239845575294e-07
체험학습	1.9195246419622853e-06
국정농단	6.123652027149925e-07
중수부장	4.578448719063743e-07
포괄조항	8.165287563271041e-07
비밀양념	1.9497716969265395e-06
메자닌랙	4.787385862989271e-06
조월마을	2.8220379823936757e-06
평생학습	1.1687792718599264e-05
진실규명	8.071056949143979e-08
사고방식	1.210658542371597e-07
특무대장	1.6142113898287959e-07
노후원전	2.61554739831609e-06
소방차량	2.010702062455494e-06
안전운전	1.6755850520462447e-06
해외여행	1.7484365760482554e-06
할인혜택	1.7484365760482554e-06
당진공장	5.026755156138734e-06
사전예약	1.961660548737067e-06
치외법권	1.7484365760482554e-07
5만원권	1.8658428101269385e-06
기념주화	1.2425157284800568e-05
우리나라	4.437187809357623e-06
국립공원	6.425679027820486e-07
준비기간	8.165287563271041e-07
전문기업	2.9893144715373712e-06
무차별적	1.210658542371597e-07
전근대적	1.6142113898287959e-07
활성단층	1.961660548737067e-06
단위사업	3.2716508134869047e-06
경영평가	3.685508135130335e-07
연병호선	3.446917821352275e-06
김아무개	6.724756061724059e-07
공안검사	3.784850941092694e-07
엔지니어	3.8014090297393913e-06
프로젝트	1.5942228179987994e-06
스마트폰	6.448581135281712e-06
