word	score
오픈블록체인산업협회	1.577709305157253e-06
고위공직자범죄수사처	2.214484875897159e-07
한국방송광고진흥공사	1.2616016308162074e-06
가축위생방역지원본부	3.1694759231954116e-07
외국법자문법률사무소	1.1224274770975887e-06
경영정보공개시스템	2.6353954627738554e-07
kcab인터내셔널	3.3491015940678267e-07
국외소재문화재재단	1.2468758873883824e-06
과학기술정보통신부	1.3327412382755924e-06
한국지방행정연구원	2.847459619883289e-07
서울해사중재인협회	3.369207692831527e-07
한국여성경제인협회	1.8357458737577384e-06
장애인차별금지법	2.222000096064231e-06
중국인초조폐총공	1.0645983109967985e-06
한국과학창의재단	1.5488911958700958e-06
한국인터넷진흥원	5.094785144658993e-07
그랜드코리아레저	1.1105216767878955e-06
주택도시보증공사	1.1093327210828116e-06
금융소득종합과세	7.497228190840943e-07
대전준법지원센터	2.3954244938058296e-06
한국광물자원공사	5.318921347932209e-07
정부출연연구기관	7.756319537039029e-07
남아프리카공화국	1.2746676719084604e-06
국민건강보험공단	1.2977698764048166e-06
대한민국임시정부	5.251349679193804e-06
한국과학기술회관	5.833430921940643e-07
국민체육진흥공단	3.5138606170318074e-07
금호아시아나그룹	1.7685395972548363e-07
sk이노베이션	4.947823939944391e-06
한국수력원자력	1.965937241334408e-06
국립중앙과학관	3.0767269043347164e-06
충청북도교육청	2.219489361492407e-06
한국에너지공단	2.3027527373045488e-07
인천국제공항공	4.319677349945722e-06
볼프스부르크시	9.17395605516211e-07
브랜드평판지수	1.3865280599440803e-06
에너지시민연대	6.908258211913646e-07
한국수출입은행	1.5206128712164318e-06
도용방지시스템	1.473186063690585e-06
군산사랑상품권	4.6217601998136e-06
한국교육개발원	4.945587870110132e-07
스마트컨트랙트	3.8177805343455395e-07
kgc인삼공사	2.921176060128202e-06
장애인법연구회	8.888000384256925e-07
농림축산식품부	7.17612872677991e-07
원내수석부대표	3.3217273138457387e-07
한밭교육박물관	3.107987476140475e-07
사회보장정보원	3.5138606170318074e-07
콤스코시큐리티	1.5133917201918598e-06
국가무형문화재	8.358502489024597e-07
방송통신위원회	6.927712333003184e-07
중소벤처기업부	3.311411884634218e-07
위조방지홍보관	4.596847048326976e-07
it서비스업체	1.0195059264294707e-06
한국예탁결제원	1.6796097215265434e-06
대한상사중재원	2.197237199958441e-07
이력관리시스템	4.838049470248227e-07
마이크로led	6.282243341964115e-07
삼성디스플레이	6.651457849674285e-07
it서비스기업	4.958865887028838e-07
평택사랑상품권	2.8467363549576526e-06
소프트웨어사업	6.796706176196472e-07
keb하나은행	4.421215444614994e-07
한국전력기술	1.1940256262334947e-06
한국남부발전	8.639868662149347e-07
krx금시장	3.369340878446263e-06
청소노동자들	3.7178197190929596e-06
하이투자증권	1.6450806131412152e-06
풍산화동양행	2.550610409164475e-06
남북정상회담	5.693289830153303e-06
월인천강지곡	2.507550746707379e-06
모바일상품권	9.996327208920028e-07
한국동서발전	4.973901944100064e-07
위조방지기술	1.1912616780246207e-06
인쇄회로기판	6.282243341964115e-07
kb국민은행	5.155506784568977e-07
홍콩할매귀신	5.521275836913595e-07
합작투자계약	3.390654570073311e-07
국제심포지엄	1.7856800772007093e-06
차별구제소송	8.888000384256925e-07
oo골드선물	2.8550117513383437e-07
위조방지요소	1.0840221219209605e-06
한국전력공사	3.0387200017719183e-06
콤스코투게더	1.5133917201918598e-06
스튜디오앤뉴	6.940805953783676e-07
데이터베이스	4.5059989807430467e-07
볼프스부르크	3.671700366101731e-06
평균근속연수	1.4631110285453253e-06
카카오게임즈	3.6977318082547093e-07
국민행복카드	1.8306133130668968e-07
택시불법행위	7.583969439848573e-07
ibm연구소	3.3634385015766787e-07
소아청소년과	2.0749099488599793e-06
지방자치단체	1.6121351840031145e-06
