word	score
2008베이징올림픽	2.335595748600315e-06
공직윤리지원관실	4.737827267192809e-06
세계자연보전총회	1.3960739652352374e-05
공직복무관리관	3.3755871353708077e-06
아시아필름마켓	2.229519625683943e-05
세계선수권대회	2.8316874609580584e-06
금융정보분석원	3.93927523826323e-06
부산국제영화제	1.4863464171226288e-05
유상운송서비스	1.4774594430292199e-06
동메달결정전	1.084983937855706e-06
화물적재공간	1.4774594430292199e-06
프로그램회사	1.4774594430292199e-06
금융거래정보	2.4405441170038223e-06
민주화운동가	1.1006908322790068e-06
강원태극전사	6.368687934191676e-06
특별수사관들	7.638488156001144e-07
베이징올림픽	5.2598741846791686e-06
서울올림픽	3.958206591970235e-06
셰익스피어	3.3020724968370205e-06
근대건축물	2.921439509516891e-06
국무총리실	2.2787549525593756e-06
국선변호인	1.1114172047075129e-06
한국선수단	5.0949503473533405e-06
탁구대표팀	1.084983937855706e-06
운송기사들	3.6936486075730495e-06
우남도서관	9.738131698389636e-07
기상캐스터	1.2278513880578237e-05
서비스기사	1.4774594430292199e-06
런던올림픽	4.902895546009774e-06
고위공직자	2.195059128870845e-06
청소년대표	1.847514705395417e-06
서비스업체	4.432378329087659e-06
지식경제부	4.5340383825071015e-06
동양선교회	9.738131698389636e-07
특별검사보	7.638488156001144e-07
화물자동차	5.9098377721168795e-06
고위공무원	7.801265725229267e-07
퀵서비스업	2.2161891645438296e-06
조폐공사	9.201765849168795e-06
여자친구	5.371849822752979e-06
피로사회	4.6015845781496655e-06
운송시장	5.17110805060227e-06
특별검사	2.2915464468003434e-06
5만원권	1.0709855153338557e-05
제조비용	1.3493793411420452e-05
한국은행	1.34527052288275e-05
1만원권	5.4214905882930444e-06
한국전쟁	8.350303654751529e-07
국회의원	1.2001181537056865e-06
피고인들	2.2228344094150257e-06
페스티벌	1.3357031991710109e-05
대전지점	3.408346094436373e-06
서비스업	8.864756658175318e-06
프로그램	6.648567493631489e-06
위성측량	2.125635198680749e-05
구조조정	1.909622039000286e-06
자금추적	2.4648886967245587e-06
독립운동	1.1006908322790068e-06
반대신문	7.409448031383418e-07
기자회견	6.902252178905393e-07
불법사찰	2.2384367295130717e-06
메달행진	2.5474751736766703e-06
플래시몹	1.7809375988946813e-05
충남도청	1.947626339677927e-06
수신환경	5.314087996701872e-06
우리나라	4.162885161477963e-06
공영방송	7.570675416004696e-07
인정신문	7.409448031383418e-07
현대사회	7.362535325039464e-06
위조지폐	9.932439185753985e-06
공판조서	1.8523620078458547e-06
기념주화	1.4570846699704175e-05
박수소리	4.084381683415488e-06
재판절차	7.409448031383418e-07
성산교회	1.4607197547584455e-06
공유센터	4.432378329087659e-06
체급종목	3.695029410790834e-06
시중은행	7.212650217248182e-06
입막음용	2.9058057214009237e-06
공안부장	1.1457732234001717e-06
전방위적	7.801265725229267e-07
한빛은행	9.738131698389636e-07
전국체전	6.106022449179374e-06
국제대회	4.084381683415488e-06
조선일보	7.801265725229267e-07
성과사회	5.521901493779599e-06
국가대표	2.7712720580931255e-06
대전지검	3.437319670200515e-06
공급회사	2.2161891645438296e-06
증거인멸	5.015226181041648e-06
기후변화	1.2278513880578237e-05
액면금액	5.584295860940949e-06
독재정권	1.6510362484185102e-06
대한민국	2.993431699736531e-06
홀로그램	5.898970186526352e-06
강도살인	1.1114172047075129e-06
네덜란드	1.084983937855706e-06
알베고프	1.084983937855706e-06
소비사회	6.442218409409531e-06
금융기관	2.4405441170038223e-06
장권전능	1.847514705395417e-06
지구환경	1.2278513880578237e-05
포장번호	3.8040672361454295e-06
일련번호	5.768805259209553e-06
조별리그	1.6274759067835588e-06
베트남전	2.751727080697517e-06
커뮤니티	4.472490350165376e-06
받아들	1.8420420954482918e-06
학생들	3.3020724968370205e-06
쳐들어	1.5276976312002288e-06
이어져	1.4819738347018482e-06
공소장	7.409448031383418e-07
레슬링	2.221112940336883e-05
베이징	6.553543208657393e-06
중구청	1.4607197547584455e-06
의문사	1.6510362484185102e-06
역사적	4.147383614518683e-06
결정적	1.7308895365014178e-06
비판적	1.17018985878439e-06
5만원	1.0930523386061308e-05
돈다발	7.920947547342967e-06
검사들	5.728866117000858e-06
개인적	2.107733801851863e-06
막바지	4.982307306735848e-06
