word	score
한국ict인증위원회	6.997087741596522e-07
고창문화재보존연구소	7.184929023250119e-07
대한무역투자진흥공사	5.460861460501845e-07
세계주화책임자회의	4.723034225577651e-06
중리전통시장상인회	1.134863347488623e-06
과학기술정보통신부	2.4716961842793617e-06
국외소재문화재재단	3.700500598581662e-06
디지털경영혁신대상	6.8552044255983e-07
트레블파트너익스체	8.429562397356439e-07
인천국제공항공사	5.6352003656769125e-06
국립문화재연구소	5.366937508421923e-06
한국광물자원공사	1.5601988522629514e-06
한국가스기술공사	1.937771823044397e-06
그랜드코리아레저	1.2637028321685335e-06
포항국제불빛축제	2.1129363640742123e-06
국민건강보험공단	8.785125441424307e-07
산업안전보건공단	2.1504535030050364e-06
한국귀금속중앙회	1.2846653093571212e-06
산업통상자원부	1.2351432081389224e-06
한국재정정보원	1.6817115662249567e-06
경남사랑상품권	1.4402077459160552e-06
지역사랑상품권	6.9132460793626564e-06
일본제일은행권	8.889861382963188e-07
성남사랑상품권	1.3553617154447374e-05
국가경영연구원	1.3843376178417254e-06
농협정보시스템	3.42760221279915e-07
자기자본회전율	9.587054547441203e-06
포항사랑상품권	2.7258772799389414e-06
국립중앙과학관	2.331436874473916e-06
무인정산시스템	3.42760221279915e-07
충주사랑상품권	3.169404546111318e-06
한밭교육박물관	1.0481929743449094e-06
매출액순이익률	8.37461088238019e-07
고향사랑상품권	4.252625081659029e-07
대한산업공학회	1.5149355063173599e-06
한국예탁결제원	1.1733563421427345e-06
한국수력원자력	1.7032112751052328e-06
한국수출입은행	1.3530487237771108e-06
군산사랑상품권	2.209860050499635e-06
칠곡사랑상품권	2.6469752253237386e-06
여성리더스포럼	4.153012853525176e-06
한국토지주택공	3.3914821141663176e-06
한국수자원공사	3.6047493663968897e-06
현대hmall	2.420966115877087e-06
가평뮤직빌리지	7.364659122773024e-06
국립중앙박물관	5.2593247824324545e-06
대한상공회의소	1.3179732693668598e-06
문화체육관광부	4.0530054567666844e-07
키르기스스탄	4.010716345117466e-07
한국전력공사	5.0674776249581115e-06
위조방지장치	2.651643481470451e-06
웹발전연구소	3.1486894837184344e-06
싱어송라이터	3.682329561386512e-06
한국석유공사	2.523362828992727e-06
한국도로공사	2.9218287296172554e-06
플랙트코리아	3.42760221279915e-07
미래에셋대우	1.2104258568063327e-06
세계기록유산	4.152035550703854e-06
국가보안시설	9.010529580128636e-07
대한석탄공사	3.0046383022854927e-06
나노씨엠에스	6.8625283619504334e-06
한국철도공사	4.462444504968024e-06
중리전통시장	3.4045900424658695e-06
온라인쇼핑몰	2.420966115877087e-06
기계전자기술	1.4274058992856902e-06
아시아나항공	2.0173764280105544e-06
정보통신기술	2.3302042269649294e-06
사회공헌활동	9.693627760210675e-07
모바일상품권	3.7819499624556757e-06
특수압인기술	1.444332606580124e-06
한국남동발전	2.6111606786707704e-06
프레젠테이션	7.66167330131626e-07
특별안전점검	2.5091119323381274e-06
정품인증사업	9.390828284774277e-07
애플리케이션	7.860053645168733e-07
중앙행정기관	6.997087741596522e-07
정품인증라벨	9.098196241905958e-07
지방자치단체	3.253517749500361e-06
krx금시장	3.6260714377015516e-06
한국중부발전	1.7895270603093621e-06
과학기술자료	4.1927718973796385e-07
지속가능채권	1.8352361562244587e-06
삼성금거래소	1.8197403177906434e-06
친환경에너지	7.787559716657751e-07
풍산화동양행	9.144772096077047e-06
한국동서발전	1.8045263507713592e-06
한국서부발전	1.375911039733005e-06
국가표준영정	1.4841327511057315e-06
전국체육대회	5.585501345030962e-06
한국전력기술	3.18414115351962e-06
해양환경공단	1.087043312742639e-06
조폐잉크공사	1.3647294362858938e-06
우즈베키스탄	7.515905882663841e-07
장애인복지관	1.9425382701972597e-06
데이턴미술관	2.8739716093000476e-06
기술연구원	1.1642188924682986e-06
기획재정부	5.051885646712313e-06
복리후생비	2.1983353566248e-06
한국마사회	2.9522613403595227e-06
금거래계좌	1.036020410771872e-06
부가가치세	1.554030616157808e-06
안전협력부	2.6988767003300867e-07
수출계약서	1.3494383501650434e-07
공공기관별	5.460861460501845e-07
무형문화재	3.0171650052066414e-06
국외문화재	3.827858360501671e-06
취업준비생	3.5108782604296694e-06
행정안전부	4.377851841389942e-06
국가유공자	4.632206644316543e-06
라인프렌즈	5.5088067177355865e-06
공공서비스	6.917251881849845e-07
모바일시루	6.9818766812887015e-06
화폐박물관	2.8339529239572198e-05
더현대닷컴	3.2900460203777084e-06
지역상품권	6.7862889041922664e-06
공공기관들	1.2025113779011823e-06
국정조사권	4.86615647483758e-07
사회적기업	2.024157525247565e-07
고용안정성	1.2249721939663004e-06
주민등록증	8.559341061636258e-06
천연기념물	1.2946567013763674e-05
고용부담금	5.634496970864566e-06
신뢰플랫폼	2.0825732996446086e-06
혁신도시법	4.709415865650287e-06
독립선언문	2.3254761655772375e-06
준정부기관	1.4748545112512352e-06
조선은행권	8.889861382963188e-07
국무총리상	4.97620442548991e-07
심사위원장	4.97620442548991e-07
나노구조물	1.3647294362858938e-06
자기앞수표	2.1585247708922446e-06
광개토대왕	7.749150797907574e-06
당기순이익	2.980493031062428e-07
서울대교구	1.952378889600488e-06
자문위원회	1.1873062008845852e-06
해외조폐국	2.263654283509341e-06
익스피디아	1.2644343596034658e-06
한전kdn	1.4805977732904856e-06
국제금시세	1.036020410771872e-06
수출입은행	2.139164250181313e-06
방탄소년단	2.902105367523617e-06
뉴스래빗은	4.187305441190095e-07
화폐본부장	1.29502551346484e-06
한국은행권	1.311502676114984e-06
소득공제율	2.160311618874083e-06
사업자등록	1.8954953510227522e-06
특별검사제	7.29923471225637e-07
