word	score
공공연대노조대전지부	1.4702605228942564e-06
한국방송광고진흥공사	4.595385695979223e-06
삼우종합건축사사무소	1.9556907632360704e-06
소상공인시장진흥공단	2.6206935772124935e-06
기술경영전문대학원장	2.3972503582186446e-06
충남지방노동위원회	5.630568493045668e-06
국외소재문화재재단	3.147773584400123e-06
대전지방고용노동청	3.4185215217137883e-06
1004섬신안카드	9.356525829386755e-06
한국섬유개발연구원	3.824796031607423e-06
인천국제공항공사	1.2555228078130293e-05
공공연대노동조합	2.3978258108787945e-06
국민건강보험공단	1.0063463336495977e-06
한국블록체인학회	5.077045243754775e-06
한국국토정보공사	2.4355316217915947e-06
정보기술연구센터	2.6206935772124935e-06
그랜드코리아레저	1.0063463336495977e-06
한국실명예방재단	8.361444795833068e-07
불성실공시기관	2.4399560891288733e-06
대전지방노동청	1.1787756800058379e-06
중앙노동위원회	3.3546792727465215e-06
대전지방보훈청	6.659644855034102e-06
중소벤처기업부	1.4059588882224932e-06
지역사랑상품권	1.693281223176309e-05
국외소재문화재	4.452782654071096e-06
경영평가성과급	7.327764565409691e-06
울릉사랑상품권	1.922718394147406e-05
한국토지주택공	6.679552666165051e-06
동반성장위원회	6.975598431027711e-07
여권발급노동자	1.4180777052562543e-06
섬유개발연구원	6.37466005267904e-06
통합관리서비스	1.082645931679543e-05
지방노동위원회	6.219669847759867e-06
중대재해처벌법	5.649399328122742e-07
완도사랑상품권	1.9758108644952837e-06
사회적가치처장	3.1018859015293248e-06
청렴시민감사관	1.7438996077569276e-06
진천사랑상품권	1.0516762716363782e-05
영암사랑상품권	8.294063189419762e-06
영양사랑상품권	6.289664585309985e-06
기술안전본부장	5.574296530555379e-07
무급휴직지원금	6.449789717343117e-07
투르크메니스탄	1.3588324300200028e-06
콜라보레이션	3.3825340569165346e-06
nh농협은행	7.400384538819396e-06
사회공헌활동	1.6190740648474525e-06
여권발급원들	4.036556272244011e-06
지방자치단체	5.791767717795983e-06
우즈베키스탄	3.5593052776402404e-06
여권제작업무	1.0004100228786477e-06
대전지방법원	1.4477488815291528e-06
공공연대노조	3.533277891267301e-06
데이턴미술관	4.193109723539991e-06
더불어민주당	4.6977608135582525e-06
풍산화동양행	5.053904991083817e-06
한국남부발전	2.738395810552154e-06
한국공항공사	4.841335674773682e-06
한국가스공사	6.601466298706072e-06
진천사랑카드	6.799637389524308e-06
근로감독결과	1.3318243772737777e-06
프리미어리그	5.070794468493317e-06
정부대전청사	1.646408266801978e-06
그레고로만형	2.8589384478681754e-06
사회형평전형	1.6543550010057343e-06
애플리케이션	3.100053566291281e-06
창업경진대회	3.116738678606591e-06
비상대비업무	1.1321396253557973e-05
유통주화세트	4.6840409703045945e-06
유지보수공사	7.797104857822297e-07
상생협력센터	4.362773122758371e-06
한국전력공사	7.480238035263069e-06
esg위원회	4.926630223480406e-07
원주사랑카드	6.047754408951908e-06
퇴직연금제도	9.159705706762114e-07
한국도로공사	6.363754366859174e-06
정부출자기관	3.1188419431289187e-06
여권발급업무	1.8330324160930984e-06
도로교통공단	9.378718410301585e-06
한국부동산원	2.055206485430575e-06
온누리상품권	7.565520224478128e-07
온라인쇼핑몰	2.3770698278656e-06
정품인증사업	3.5761194012464446e-06
기획조정실장	3.108390551658436e-06
자원순환사업	1.528559515383076e-06
