word	score
광주하계유니버시아드	9.579767697186508e-07
송경화기업교육연구소	4.819451032843829e-07
한국내셔널트러스트	3.695863040571362e-06
전통의학지식사업단	2.7109412059746537e-06
군산해양경비안전서	2.6025035577356673e-06
제주도상인연합회	9.026023899661274e-07
세계군인체육대회	5.9297549416762045e-06
국민건강보험공단	1.0148289198355768e-06
남아프리카공화국	4.791256470047244e-07
곡성군드림스타트	3.7178622253366677e-06
보수혁신특별위원	1.5460417174667332e-07
리디노미네이션	4.055849700367275e-06
제주사랑상품권	4.513011949830638e-06
주화역사시리즈	3.470004743647557e-06
동양rpf산업	2.9323983749134284e-06
산업통상자원부	1.890540659774685e-06
마이크로소프트	2.6332245103564934e-07
한국수출입은행	4.799925815137876e-07
선거관리위원회	1.1233235788005438e-06
통영시립박물관	1.4871448901346674e-06
삼도수군통제영	1.1153586676010004e-06
tu합성바닥판	3.6654979686417856e-06
우정스포츠센터	5.266449020712987e-07
새정치민주연합	1.7817807090855574e-06
검증시험보고서	1.5852813549658888e-06
인천아시안게임	9.579767697186508e-07
유통전문기업	1.0067626876900687e-06
환경노동위원	1.5460417174667332e-07
우리나라사람	7.229176549265743e-07
한국철도공사	1.0154479560482787e-06
특별감사결과	4.6404223912077286e-07
kb투자증권	3.2923237778583747e-06
신세계백화점	7.85156440160959e-07
cj제일제당	3.936560003297649e-06
sw중심대학	5.365986716980758e-07
병행수입업체	2.0845295486717727e-06
온누리상품권	5.574236994109892e-06
빈폴액세서리	5.64846855304007e-06
애플리케이션	1.051446527189277e-06
백화점상품권	6.075915548166983e-07
지방자치단체	3.0109056338113066e-07
독점수입업체	5.685080587286653e-07
kb금융지주	4.6404223912077286e-07
배스킨라빈스	4.082358521938302e-06
두산주류bg	3.030081761917336e-07
동탑산업훈장	1.6097960150942274e-06
병행수입제품	5.685080587286653e-07
주민등록번호	5.870308776847371e-07
선거구획정위	1.5460417174667332e-07
하이그라운드	6.663593746691611e-07
대왕제지공업	2.6376725247320957e-06
디노미네이션	4.461434670404002e-06
쯔쯔가무시증	4.055849700367275e-06
무궁화대훈장	1.611873171242736e-06
육아휴직급여	3.0920834349334664e-07
정보격차해소	2.1890216840767298e-06
긴급대책회의	1.3461225298632765e-06
예능프로그램	2.428132241054539e-06
풍산화동양행	1.7879795434825198e-06
선거구획정	5.411146011133566e-07
영조물법인	2.5703738841833756e-06
모바일공학	3.5773244779871723e-07
황금레시피	3.5236694069152407e-06
기획재정부	1.5270704344434578e-06
수자원공사	1.395780042709063e-06
다음카카오	6.356482126245895e-06
벤처업체들	4.383163886712703e-06
인플레이션	1.0197375411645784e-06
고액상품권	3.3297033096166617e-06
꿀성대교관	3.112628839816745e-06
불리언코인	3.936560003297649e-06
법무부장관	7.997450113400259e-07
애니메이션	1.2029515897804718e-06
새정치연합	9.343419460228327e-07
인크레더블	1.110598957781935e-06
